Name,Ref,Easting,Northing,Elevation,Site,Description,Longitude,Latitude
CS1,Tapawera_CS,1584672.583,5418280.313,146.76,Motueka at Tapawera Bridge,,172.816675,-41.38685853
CS2,Tapawera_CS,1584668.243,5418279.986,144.588,Motueka at Tapawera Bridge,,172.8166231,-41.38686139
CS3,Tapawera_CS,1584662.963,5418278.92,143.692,Motueka at Tapawera Bridge,,172.8165599,-41.38687089
CS4,Tapawera_CS,1584659.842,5418278.08,142.203,Motueka at Tapawera Bridge,water level,172.8165226,-41.3868784
CS5,Tapawera_CS,1584646.611,5418273.257,148.652,Motueka at Tapawera Bridge,"Water edge, from bridge deck",172.8163642,-41.38692159
CS6,Tapawera_CS,1584639.451,5418271.723,148.663,Motueka at Tapawera Bridge,"Water edge, from bridge deck, start of next channel",172.8162785,-41.38693527
CS7,Tapawera_CS,1584621.933,5418268.1,148.664,Motueka at Tapawera Bridge,"Water edge, from bridge deck, end of second channel",172.8160689,-41.38696757
CS8,Tapawera_CS,1584604.054,5418267.372,142.527,Motueka at Tapawera Bridge,Water edge,172.815855,-41.38697379
CS9,Tapawera_CS,1584600.221,5418266.998,142.902,Motueka at Tapawera Bridge,,172.8158092,-41.38697708
CS10,Tapawera_CS,1584585.231,5418263.82,143.193,Motueka at Tapawera Bridge,,172.8156298,-41.38700542
CS11,Tapawera_CS,1584577.88,5418262.324,143.24,Motueka at Tapawera Bridge,,172.8155418,-41.38701875
CS12,Tapawera_CS,1584575.542,5418261.944,142.901,Motueka at Tapawera Bridge,,172.8155139,-41.38702214
CS13,Tapawera_CS,1584553.452,5418257.081,142.965,Motueka at Tapawera Bridge,,172.8152495,-41.38706551
CS14,Tapawera_CS,1584551.292,5418256.642,142.835,Motueka at Tapawera Bridge,,172.8152237,-41.38706943
CS15,Tapawera_CS,1584550.149,5418256.435,142.453,Motueka at Tapawera Bridge,,172.81521,-41.38707127
CS16,Tapawera_CS,1584536.941,5418253.539,142.546,Motueka at Tapawera Bridge,,172.815052,-41.3870971
CS17,Tapawera_CS,1584533.627,5418252.919,142.922,Motueka at Tapawera Bridge,,172.8150123,-41.38710262
CS18,Tapawera_CS,1584531.176,5418252.371,143.724,Motueka at Tapawera Bridge,,172.814983,-41.38710752
CS19,Tapawera_CS,1584515.834,5418248.974,143.409,Motueka at Tapawera Bridge,,172.8147994,-41.38713781
CS20,Tapawera_CS,1584513.558,5418248.792,142.411,Motueka at Tapawera Bridge,,172.8147722,-41.38713942
CS21,Tapawera_CS,1584505.589,5418247.012,143.099,Motueka at Tapawera Bridge,,172.8146768,-41.38715529
CS22,Tapawera_CS,1584496.964,5418245.25,142.034,Motueka at Tapawera Bridge,,172.8145736,-41.38717099
CS23,Tapawera_CS,1584492.351,5418244.326,143.193,Motueka at Tapawera Bridge,,172.8145184,-41.38717923
CS24,Tapawera_CS,1584484.812,5418242.76,143.045,Motueka at Tapawera Bridge,,172.8144282,-41.38719319
CS25,Tapawera_CS,1584479.224,5418241.274,143.641,Motueka at Tapawera Bridge,,172.8143613,-41.38720646
CS26,Tapawera_CS,1584476.06,5418240.909,146.234,Motueka at Tapawera Bridge,,172.8143235,-41.38720969
CS27,Tapawera_CS,1584473.931,5418239.627,146.484,Motueka at Tapawera Bridge,,172.814298,-41.38722121
CS28,Tapawera_CS,1584472.09,5418238.672,147.283,Motueka at Tapawera Bridge,,172.8142759,-41.38722977
CS29,Tapawera_CS,1584471.756,5418238.661,148.597,Motueka at Tapawera Bridge,Bridge abutment,172.8142719,-41.38722986
CS0,Norths_CS,1586588.843,5408582.383,206.264,Motueka at Norths Bridge,"Top of bridge, waters edge, true left.",172.8393811,-41.4742398
CS1,Norths_CS,1586587.881,5408584.091,201.167,Motueka at Norths Bridge,,172.8393679,-41.47423173
CS2,Norths_CS,1586582.145,5408580.731,202.428,Motueka at Norths Bridge,,172.8392991,-41.4742619
CS3,Norths_CS,1586573.416,5408575.414,202.785,Motueka at Norths Bridge,,172.8391944,-41.47430965
CS4,Norths_CS,1586567.221,5408571.789,202.453,Motueka at Norths Bridge,,172.8391202,-41.4743422
CS5,Norths_CS,1586565.414,5408570.776,203.153,Motueka at Norths Bridge,,172.8390985,-41.4743513
CS6,Norths_CS,1586556.118,5408564.73,203.169,Motueka at Norths Bridge,,172.838987,-41.4744056
CS7,Norths_CS,1586549.427,5408561.342,203.23,Motueka at Norths Bridge,,172.8389068,-41.474436
CS8,Norths_CS,1586545.401,5408559.572,202.98,Motueka at Norths Bridge,,172.8388585,-41.47445188
CS9,Norths_CS,1586544.087,5408558.377,203.173,Motueka at Norths Bridge,,172.8388428,-41.47446262
CS10,Norths_CS,1586541.354,5408553.882,203.039,Motueka at Norths Bridge,,172.83881,-41.47450307
CS11,Norths_CS,1586538.455,5408551.623,203.054,Motueka at Norths Bridge,,172.8387752,-41.47452336
CS12,Norths_CS,1586535.217,5408549.687,204.907,Motueka at Norths Bridge,,172.8387364,-41.47454075
CSX1,Korere_CS,1583178.265,5401302.893,265.026,Motupiko at Korere Bridge,Korere,172.7983289,-41.53975204
CSX2,Korere_CS,1583174.797,5401303.831,263.735,Motupiko at Korere Bridge,Korere,172.7982874,-41.53974352
CSX3,Korere_CS,1583169.142,5401306.164,260.587,Motupiko at Korere Bridge,Korere,172.7982196,-41.53972238
CSX4,Korere_CS,1583157.14,5401313.288,260.615,Motupiko at Korere Bridge,Korere,172.798076,-41.53965796
CSX5,Korere_CS,1583154.705,5401313.93,260.77,Motupiko at Korere Bridge,Korere,172.7980468,-41.53965212
CSX6,Korere_CS,1583144.787,5401317.059,260.909,Motupiko at Korere Bridge,Korere,172.797928,-41.53962373
CSX7,Korere_CS,1583142.031,5401317.878,261.259,Motupiko at Korere Bridge,Korere,172.7978949,-41.5396163
CSX8,Korere_CS,1583139.881,5401318.702,262.047,Motupiko at Korere Bridge,Korere,172.7978692,-41.53960883
CSX9,Korere_CS,1583136.982,5401319.566,262.445,Motupiko at Korere Bridge,Korere,172.7978345,-41.53960098
CSX10,Korere_CS,1583128.031,5401322.875,262.047,Motupiko at Korere Bridge,Korere,172.7977272,-41.53957099
CSX11,Korere_CS,1583112.692,5401328.27,262.154,Motupiko at Korere Bridge,Korere,172.7975435,-41.53952207
CSX12,Korere_CS,1583108.366,5401330.1,261.495,Motupiko at Korere Bridge,Korere,172.7974917,-41.53950549
CSX13,Korere_CS,1583103.615,5401331.052,261.921,Motupiko at Korere Bridge,Korere,172.7974348,-41.53949682
CSX14,Korere_CS,1583096.622,5401332.505,261.134,Motupiko at Korere Bridge,Korere,172.797351,-41.53948359
CSX15,Korere_CS,1583093.829,5401333.258,262.159,Motupiko at Korere Bridge,Korere,172.7973175,-41.53947674
CSX16,Korere_CS,1583090.996,5401333.867,264.254,Motupiko at Korere Bridge,Korere,172.7972836,-41.5394712
